ref_date,sales_qty,sales_sales,sales_retail,on_shelf_qty,on_shelf_price,on_shelf_retail,on_shelf_qty_sod,on_shelf_recon_delta,migration_to_qty_in,migration_to_from_intake,migration_to_from_processing,migration_to_from_returned,migration_to_from_sold,migration_to_from_scrapped,migration_to_from_lost,migration_from_qty_out,migration_from_to_sold,migration_from_to_scrapped,migration_from_to_lost,migration_from_to_intake,migration_from_to_processing,migration_from_to_returned,price_increases_qty,price_increases_total_increase,price_decreases_qty,price_decreases_total_decrease
2026-02-06,296,2643.63,7140.23,0,0,0,0,146,0,0,0,0,0,0,0,146,146,0,0,0,0,0,0,0,0,0
2026-02-07,387,5775.60,12608.66,0,0,0,0,312,0,0,0,0,0,0,0,312,312,0,0,0,0,0,0,0,0,0
2026-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-09,163,1539.83,3928.55,0,0,0,0,95,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0
2026-02-10,61,1089.35,2368.35,0,0,0,0,54,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0
2026-02-11,117,1294.63,3025.18,0,0,0,0,80,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0
2026-02-12,128,2541.80,5497.25,0,0,0,0,92,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0,0,0,0
2026-02-13,148,1920.31,4290.92,0,0,0,0,116,0,0,0,0,0,0,0,116,116,0,0,0,0,0,0,0,0,0
2026-02-14,352,4777.25,10824.53,0,0,0,0,279,0,0,0,0,0,0,0,279,279,0,0,0,0,0,0,0,0,0
2026-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-16,128,1643.61,3857.55,0,0,0,0,106,0,0,0,0,0,0,0,106,106,0,0,0,0,0,0,0,0,0
2026-02-17,68,1201.06,2618.52,0,0,0,0,53,0,0,0,0,0,0,0,53,53,0,0,0,0,0,0,0,0,0
2026-02-18,100,1271.56,3054.51,0,0,0,0,68,0,0,0,0,0,0,0,68,68,0,0,0,0,0,0,0,0,0
