table_name,ordinal_position,column_name,data_type,is_nullable,column_default
accounts_consigneeprofile,1,id,bigint,NO,
accounts_consigneeprofile,2,consignee_number,character varying,NO,
accounts_consigneeprofile,3,commission_rate,numeric,NO,
accounts_consigneeprofile,4,payout_method,character varying,NO,
accounts_consigneeprofile,5,status,character varying,NO,
accounts_consigneeprofile,6,join_date,date,NO,
accounts_consigneeprofile,7,notes,text,NO,
accounts_consigneeprofile,8,created_at,timestamp with time zone,NO,
accounts_consigneeprofile,9,user_id,bigint,NO,
accounts_customerprofile,1,id,bigint,NO,
accounts_customerprofile,2,customer_number,character varying,NO,
accounts_customerprofile,3,customer_since,date,NO,
accounts_customerprofile,4,notes,text,NO,
accounts_customerprofile,5,user_id,bigint,NO,
accounts_employeeprofile,1,id,bigint,NO,
accounts_employeeprofile,2,employee_number,character varying,NO,
accounts_employeeprofile,3,position,character varying,NO,
accounts_employeeprofile,4,employment_type,character varying,NO,
accounts_employeeprofile,5,pay_rate,numeric,NO,
accounts_employeeprofile,6,hire_date,date,NO,
accounts_employeeprofile,7,termination_date,date,YES,
accounts_employeeprofile,8,emergency_name,character varying,NO,
accounts_employeeprofile,9,emergency_phone,character varying,NO,
accounts_employeeprofile,10,notes,text,NO,
accounts_employeeprofile,11,created_at,timestamp with time zone,NO,
accounts_employeeprofile,12,department_id,bigint,YES,
accounts_employeeprofile,13,user_id,bigint,NO,
accounts_employeeprofile,14,work_location_id,bigint,YES,
accounts_employeeprofile,15,termination_notes,text,NO,
accounts_employeeprofile,16,termination_type,character varying,NO,
accounts_user,1,id,bigint,NO,
accounts_user,2,password,character varying,NO,
accounts_user,3,last_login,timestamp with time zone,YES,
accounts_user,4,is_superuser,boolean,NO,
accounts_user,5,email,character varying,NO,
accounts_user,6,first_name,character varying,NO,
accounts_user,7,last_name,character varying,NO,
accounts_user,8,phone,character varying,NO,
accounts_user,9,is_active,boolean,NO,
accounts_user,10,is_staff,boolean,NO,
accounts_user,11,date_joined,timestamp with time zone,NO,
accounts_user,12,updated_at,timestamp with time zone,NO,
accounts_user_groups,1,id,bigint,NO,
accounts_user_groups,2,user_id,bigint,NO,
accounts_user_groups,3,group_id,integer,NO,
accounts_user_user_permissions,1,id,bigint,NO,
accounts_user_user_permissions,2,user_id,bigint,NO,
accounts_user_user_permissions,3,permission_id,integer,NO,
auth_group,1,id,integer,NO,
auth_group,2,name,character varying,NO,
auth_group_permissions,1,id,bigint,NO,
auth_group_permissions,2,group_id,integer,NO,
auth_group_permissions,3,permission_id,integer,NO,
auth_permission,1,id,integer,NO,
auth_permission,2,name,character varying,NO,
auth_permission,3,content_type_id,integer,NO,
auth_permission,4,codename,character varying,NO,
buying_auction,1,id,bigint,NO,
buying_auction,2,external_id,character varying,NO,
buying_auction,3,title,character varying,NO,
buying_auction,4,description,text,NO,
buying_auction,5,url,character varying,NO,
buying_auction,6,category,character varying,NO,
buying_auction,7,condition_summary,character varying,NO,
buying_auction,8,lot_size,integer,YES,
buying_auction,9,current_price,numeric,YES,
buying_auction,10,starting_price,numeric,YES,
buying_auction,11,buy_now_price,numeric,YES,
buying_auction,12,bid_count,integer,YES,
buying_auction,13,time_remaining_seconds,integer,YES,
buying_auction,14,end_time,timestamp with time zone,YES,
buying_auction,15,status,character varying,NO,
buying_auction,16,has_manifest,boolean,NO,
buying_auction,17,ai_score,numeric,YES,
buying_auction,18,ai_score_data,jsonb,NO,
buying_auction,19,first_seen_at,timestamp with time zone,YES,
buying_auction,20,last_updated_at,timestamp with time zone,YES,
buying_auction,21,created_at,timestamp with time zone,NO,
buying_auction,22,marketplace_id,bigint,NO,
buying_auction,23,auction_ext_id,character varying,YES,
buying_auction,24,lot_id,character varying,YES,
buying_auction,25,seller_id,character varying,YES,
buying_auction,26,group_id,character varying,YES,
buying_auction,27,listing_type,character varying,NO,
buying_auction,28,total_retail_value,numeric,YES,
buying_auction,29,ai_category_estimates,jsonb,YES,
buying_auction,30,estimated_fees,numeric,YES,
buying_auction,31,estimated_revenue,numeric,YES,
buying_auction,32,estimated_shipping,numeric,YES,
buying_auction,33,estimated_total_cost,numeric,YES,
buying_auction,34,manifest_category_distribution,jsonb,YES,
buying_auction,35,need_score,smallint,YES,
buying_auction,36,priority,smallint,NO,
buying_auction,37,priority_override,boolean,NO,
buying_auction,38,profit_target_override,numeric,YES,
buying_auction,39,profitability_ratio,numeric,YES,
buying_auction,40,revenue_override,numeric,YES,
buying_auction,41,shrinkage_override,numeric,YES,
buying_auction,42,fees_override,numeric,YES,
buying_auction,43,shipping_override,numeric,YES,
buying_auction,44,archived_at,timestamp with time zone,YES,
buying_auction,45,est_profit,numeric,YES,
buying_auction,46,manifest_pulled_at,timestamp with time zone,YES,
buying_auctionsnapshot,1,id,bigint,NO,
buying_auctionsnapshot,2,price,numeric,YES,
buying_auctionsnapshot,3,bid_count,integer,YES,
buying_auctionsnapshot,4,time_remaining_seconds,integer,YES,
buying_auctionsnapshot,5,captured_at,timestamp with time zone,NO,
buying_auctionsnapshot,6,auction_id,bigint,NO,
buying_auctionthumbsvote,1,id,bigint,NO,
buying_auctionthumbsvote,2,created_at,timestamp with time zone,NO,
buying_auctionthumbsvote,3,auction_id,bigint,NO,
buying_auctionthumbsvote,4,user_id,bigint,NO,
buying_bid,1,id,bigint,NO,
buying_bid,2,amount,numeric,NO,
buying_bid,3,strategy,character varying,NO,
buying_bid,4,bid_time,timestamp with time zone,NO,
buying_bid,5,was_winning,boolean,YES,
buying_bid,6,notes,text,NO,
buying_bid,7,created_at,timestamp with time zone,NO,
buying_bid,8,auction_id,bigint,NO,
buying_categorymapping,1,id,bigint,NO,
buying_categorymapping,2,source_key,character varying,NO,
buying_categorymapping,3,canonical_category,character varying,NO,
buying_categorymapping,4,rule_origin,character varying,NO,
buying_categorymapping,5,ai_reasoning,text,NO,
buying_categorymapping,6,created_at,timestamp with time zone,NO,
buying_categorymapping,7,updated_at,timestamp with time zone,NO,
buying_categorystats,1,id,bigint,NO,
buying_categorystats,2,category,character varying,NO,
buying_categorystats,3,recovery_rate,numeric,NO,
buying_categorystats,4,have_retail,numeric,NO,
buying_categorystats,5,have_units,integer,NO,
buying_categorystats,6,want_retail,numeric,NO,
buying_categorystats,7,want_units,integer,NO,
buying_categorystats,8,need_retail,numeric,NO,
buying_categorystats,9,need_units,integer,NO,
buying_categorystats,10,computed_at,timestamp with time zone,NO,
buying_categorystats,11,recovery_sold_amount,numeric,YES,
buying_categorystats,12,recovery_retail_amount,numeric,YES,
buying_categorystats,13,avg_cost,numeric,YES,
buying_categorystats,14,avg_retail,numeric,YES,
buying_categorystats,15,avg_sold_price,numeric,YES,
buying_categorystats,16,need_score_1to99,smallint,NO,
buying_categorystats,17,good_data_sample_size,integer,NO,
buying_categorystats,18,recovery_cost_amount,numeric,YES,
buying_manifestpulllog,1,id,bigint,NO,
buying_manifestpulllog,2,started_at,timestamp with time zone,NO,
buying_manifestpulllog,3,completed_at,timestamp with time zone,NO,
buying_manifestpulllog,4,rows_downloaded,integer,NO,
buying_manifestpulllog,5,api_calls,integer,NO,
buying_manifestpulllog,6,duration_seconds,double precision,NO,
buying_manifestpulllog,7,used_socks5,boolean,NO,
buying_manifestpulllog,8,success,boolean,NO,
buying_manifestpulllog,9,error_message,text,NO,
buying_manifestpulllog,10,auction_id,bigint,NO,
buying_manifestrow,1,id,bigint,NO,
buying_manifestrow,2,row_number,integer,NO,
buying_manifestrow,3,raw_data,jsonb,NO,
buying_manifestrow,4,title,character varying,NO,
buying_manifestrow,5,brand,character varying,NO,
buying_manifestrow,6,model,character varying,NO,
buying_manifestrow,7,sku,character varying,NO,
buying_manifestrow,8,upc,character varying,NO,
buying_manifestrow,9,quantity,integer,YES,
buying_manifestrow,10,retail_value,numeric,YES,
buying_manifestrow,11,condition,character varying,NO,
buying_manifestrow,12,notes,text,NO,
buying_manifestrow,13,created_at,timestamp with time zone,NO,
buying_manifestrow,14,auction_id,bigint,NO,
buying_manifestrow,15,canonical_category,character varying,YES,
buying_manifestrow,16,category_confidence,character varying,YES,
buying_manifestrow,17,fast_cat_key,character varying,NO,
buying_manifestrow,18,fast_cat_value,character varying,YES,
buying_manifestrow,19,manifest_template_id,bigint,YES,
buying_manifesttemplate,1,id,bigint,NO,
buying_manifesttemplate,2,header_signature,character varying,NO,
buying_manifesttemplate,3,display_name,character varying,NO,
buying_manifesttemplate,4,column_map,jsonb,NO,
buying_manifesttemplate,5,category_fields,jsonb,NO,
buying_manifesttemplate,6,category_field_transforms,jsonb,NO,
buying_manifesttemplate,7,min_fill_threshold,numeric,NO,
buying_manifesttemplate,8,is_reviewed,boolean,NO,
buying_manifesttemplate,9,notes,text,NO,
buying_manifesttemplate,10,created_at,timestamp with time zone,NO,
buying_manifesttemplate,11,updated_at,timestamp with time zone,NO,
buying_manifesttemplate,12,marketplace_id,bigint,NO,
buying_marketplace,1,id,bigint,NO,
buying_marketplace,2,name,character varying,NO,
buying_marketplace,3,slug,character varying,NO,
buying_marketplace,4,base_url,character varying,NO,
buying_marketplace,5,notes,text,NO,
buying_marketplace,6,is_active,boolean,NO,
buying_marketplace,7,created_at,timestamp with time zone,NO,
buying_marketplace,8,updated_at,timestamp with time zone,NO,
buying_marketplace,9,external_id,character varying,YES,
buying_marketplace,10,default_fee_rate,numeric,YES,
buying_marketplace,11,default_shipping_rate,numeric,YES,
buying_outcome,1,id,bigint,NO,
buying_outcome,2,hammer_price,numeric,YES,
buying_outcome,3,fees,numeric,YES,
buying_outcome,4,shipping_cost,numeric,YES,
buying_outcome,5,total_cost,numeric,YES,
buying_outcome,6,win,boolean,NO,
buying_outcome,7,margin_estimate,numeric,YES,
buying_outcome,8,notes,text,NO,
buying_outcome,9,captured_at,timestamp with time zone,YES,
buying_outcome,10,created_at,timestamp with time zone,NO,
buying_outcome,11,auction_id,bigint,NO,
buying_pricingrule,1,id,bigint,NO,
buying_pricingrule,2,category,character varying,NO,
buying_pricingrule,3,sell_through_rate,numeric,NO,
buying_pricingrule,4,avg_retail,numeric,YES,
buying_pricingrule,5,avg_sold_price,numeric,YES,
buying_pricingrule,6,sample_size,integer,NO,
buying_pricingrule,7,version_date,date,NO,
buying_pricingrule,8,notes,text,NO,
buying_pricingrule,9,created_at,timestamp with time zone,NO,
