Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHS554869,SMALL APPLIANCES,Mr. Coffee 12-Cup Automatic Blade Mill Grinder - Black,11,35.99,395.89,Mr. Coffee,053891154819,81615453,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,COFFEE GRINDER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY794455,SMALL APPLIANCES,LifeStraw Sip Reusable Steel Filter Straw with Carry Case Laguna Teal,11,27.49,302.39,LifeStraw,7640144289102,93996872,"Korea, Republic of",MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,HOME,N,PTBJ26196,STRAWS,irc_small_appliances___floor_care-01_20260417_031_p
LPHS622324,SMALL APPLIANCES,Disney Dash 2pk Daisy & Donald Duck Removable Plate for the MultiMaker Mini Maker System (Please be advised that sets may be missing pieces or otherwise incomplete.),18,11.04,198.72,Dash,810137395432,94620239,Indonesia,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,WAFFLE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY926090,SMALL APPLIANCES,Disney Dash 2pk Moana & Pua Removable Plate for the MultiMaker Mini Maker System (Please be advised that sets may be missing pieces or otherwise incomplete.),19,9.74,185.06,Dash,810137395418,94620249,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,WAFFLE MAKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS996777,SMALL APPLIANCES,"Chefman 1.8L Lightning Borosilicate Glass Electric Kettle: Stainless Steel Lid, 1750W, Hand Wash, Silver & Black Accents",4,44.99,179.96,Chefman,810087848552,91992759,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,ELECTRIC KETTLES,irc_small_appliances___floor_care-01_20260417_031_p
LPJY926095,SMALL APPLIANCES,"Bodum Schiuma Milk Frother - Black: Handheld Frother Wand for Coffee, Battery-Powered, Stainless Steel & Plastic",15,9.99,149.85,Bodum,727015012049,21561851,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FROTHER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY817665,SMALL APPLIANCES,"Aroma 4 Cup Pot Style Rice Cooker White: Nonstick, Stay-Cool Handles, 1 Setting, 250W, Includes Glass Lid & Manual",4,20.99,83.96,Aroma,021241003025,83648981,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,RICE COOKER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY733127,SMALL APPLIANCES,GE Profile Opal Side Tank - Hearth & Hand with Magnolia,1,70.99,70.99,GE Appliances,084691949596,94593967,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FRIDGE ACCESSORIES,irc_small_appliances___floor_care-01_20260417_031_p
LPJY817548,SMALL APPLIANCES,"Brita 2ct Elite Replacement Water Filter for Pitchers and Dispensers: Reduces Odors, Filters Lead & More (Please be advised that sets may be missing pieces or otherwise incomplete.)",2,34.99,69.98,Brita,060258320947,51847372,Canada,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,PT FILTERS,irc_small_appliances___floor_care-01_20260417_031_p
LPJY930048,SMALL APPLIANCES,"Bodum Brazil 8 Cup 34oz French Press Coffee Maker Black: Glass Carafe, Dishwasher-Safe, Manual Coffee Presser",3,19.99,59.97,Bodum,727152651552,14695670,Portugal,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,COFFEE PRESS,irc_small_appliances___floor_care-01_20260417_031_p
