Lot ID,Location,Item #,Dept. Code,Department,Item Description,Qty,Unit Retail,Ext. Retail,Model,Serial #,Vendor,Category Code,Seller Category,Category,Condition
6627645,1985,2127246,27,GARDEN,FAUX CONCRETE FIRE TABLE,1,399.99,399.99,,,GHP GROUP INC,XDA,Patio Furniture,OUTDOOR_FURNITURE,USED_FAIR
6627645,1985,1969214,33,SMALL APPLIANCES,CUISINART GRIND AND BREW,2,169.99,339.98,,,CONAIR LLC,EAC,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1646074,38,HOME FURNISHINGS,"GELLER 47"" SIT/STAND DESK",1,249.99,249.99,,,TWIN STAR INTL INC,ADA,Office Furniture,OFFICE_SUPPLIES,USED_FAIR
6627645,1985,1829146,32,HOUSEWARES,GREENPAN ERAS 11-PIECE,1,249.99,249.99,,,THE COOKWARE COMPANY USA,BAC,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1902789,33,SMALL APPLIANCES,BRIO 740 BOTTOM LOAD,1,249.99,249.99,,,BRIO WATER TECHNOLOGY INC,HIH,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1654492,26,SPORTING GOODS,SAMSONITE ELEMENT XLT 2PC,1,199.99,199.99,,,SAMSONITE LLC,GLH,Luggage,BAGS_AND_LUGGAGE,USED_FAIR
6627645,1985,2437599,33,SMALL APPLIANCES,SHARPER IMAGE PRO,2,79.99,159.98,,,MERCHSOURCE LLC,UCA,Massage/Relaxation,PERSONAL_CARE,USED_FAIR
6627645,1985,3640860,33,SMALL APPLIANCES,PHILIPS NORELCO SHAVER,1,149.99,149.99,,,PHILIPS NORTH AMERICA LLC,NAB,Personal Care,PERSONAL_CARE,USED_FAIR
6627645,1985,1119345,32,HOUSEWARES,KS 12PC HA COOKWARE SET,1,119.99,119.99,,,MEYER MARKETING CO LTD,BAF,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,3333008,33,SMALL APPLIANCES,BEAST BLENDER DELUXE,1,119.99,119.99,,,BEAST HEALTH LLC,CDE,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1851446,28,TOYS/SEASONAL,MAHJONG SET,1,99.99,99.99,,,WINNING SOLUTIONS INC,AHA,Toys,TOYS,USED_FAIR
6627645,1985,1896710,33,SMALL APPLIANCES,BLUEAIR MINI MAX,1,99.99,99.99,,,BLUEAIR INC,MAA,Air Treatment Appliances,HEATING_COOLING_AND_AIR_QUALITY,USED_FAIR
6627645,1985,6232432,33,SMALL APPLIANCES,GOURMIA 8QT AIR FRYER,1,59.99,59.99,,,STEELSTONE GROUP LLC,HCD,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1543452,33,SMALL APPLIANCES,CONAIR HANDHELD STEAMER,1,49.99,49.99,,,CONAIR LLC,QDA,Garment Care,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,3543452,33,SMALL APPLIANCES,CONAIR HANDHELD STEAMER,1,49.99,49.99,,,CONAIR LLC,QDA,Garment Care,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,962680,23,HARDWARE,LED SECURITY LIGHT,1,39.99,39.99,,,TEST RITE INTERNATIONAL C,ADB,Lighting,LIGHTING,USED_FAIR
6627645,1985,1727183,34,DOMESTICS,BRK HEATED THROW,1,29.99,29.99,,,BERKSHIRE BLANKET AND HOM,IEB,Blankets,BEDDING,USED_FAIR
6627645,1985,1092330,32,HOUSEWARES,T-FAL 5.5QT PAN,1,28.99,28.99,,,GROUPE SEB USA,BCB,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1744631,32,HOUSEWARES,FABERWARE SALAD SPINNER,1,16.99,16.99,,,LIFETIME BRANDS INC,AHA,Food Prep,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1796299,34,DOMESTICS,MULTINEEDLE GRID BATH MAT,1,14.99,14.99,,,DEVGIRI EXPORTS LLC,CAD,Linens,BEDDING,USED_FAIR
6627645,1985,6161149,33,SMALL APPLIANCES,PHILIPS NORELCO TRIMMER,3,59.99,179.97,,,PHILIPS NORTH AMERICA LLC,NCA,Personal Care,PERSONAL_CARE,USED_FAIR
6627645,1985,3399632,33,SMALL APPLIANCES,EMBER GEN2 14OZ MUG/GRAY,1,119.99,119.99,,,EMBER TECHNOLOGIES INC,EBA,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1987037,33,SMALL APPLIANCES,CUCKOO 6-CUP RICE COOKER,1,99.99,99.99,,,CUCKOO ELECTRONICS AMERIC,HBB,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1831233,32,HOUSEWARES,TRAMONTINA ALL IN ONE PAN,2,39.99,79.98,,,TRAMONTINA USA INC,BBE,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,2354207,33,SMALL APPLIANCES,WOOZOO OSCILLATING GLOBE,2,36.99,73.98,,,IRIS USA INC,MEF,Fans,HEATING_COOLING_AND_AIR_QUALITY,USED_FAIR
6627645,1985,1922924,32,HOUSEWARES,BRITA WATER PITCHER,2,33.99,67.98,,,THE CLOROX SALES CO,WBA,Water Filtration,HOUSEHOLD_ESSENTIALS,USED_FAIR
6627645,1985,1796308,34,DOMESTICS,MEGA PUFF 3PC KG COMF,1,66.99,66.99,,,BHF INTERNATIONAL LTD,GCA,Bedding,BEDDING,USED_FAIR
6627645,1985,4232432,33,SMALL APPLIANCES,GOURMIA 6QT AIR FRYER,1,49.99,49.99,,,STEELSTONE GROUP LLC,HCD,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1872794,32,HOUSEWARES,"TRAMONTINA 12"" CAST IRON",1,39.99,39.99,,,TRAMONTINA USA INC,BOI,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1890405,34,DOMESTICS,PI BATH MAT WHITE 2PK,1,36.99,36.99,,,WELSPUN USA INC,CAB,Linens,BEDDING,USED_FAIR
6627645,1985,1983640,32,HOUSEWARES,LUMIPUR LED GLASS CANDLES,1,34.99,34.99,,,LIFE HOME PRODUCTS INC,HDB,Home Decor,HOME_DECOR,USED_FAIR
6627645,1985,1796147,32,HOUSEWARES,SAFDIE 10PC CERAMIC,1,29.99,29.99,,,SAFDIE AND COMPANY INC,AAD,Food Storage,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1766396,34,DOMESTICS,MON CHATEAU GEL MAT,1,24.99,24.99,,,MON CHATEAU LLC,JCA,Rugs,RUGS,USED_FAIR
6627645,1985,1397108,23,HARDWARE,GREENMADE INSTAVIEW 3PK,1,17.99,17.99,,,US MERCHANTS INC,JDC,Home Organization,HOUSEHOLD_ESSENTIALS,USED_FAIR
6627645,1985,1901778,32,HOUSEWARES,OVER+BACK BERRY BASKET,1,13.99,13.99,,,OVER AND BACK LLC,AAD,Food Storage,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1323243,33,SMALL APPLIANCES,FELLOW STAGG EKG POUR OVR,1,129.99,129.99,,,FELLOW INDUSTRIES INC,EBA,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,4333009,33,SMALL APPLIANCES,SHARPER IMAGE HOT/COLD,1,89.99,89.99,,,MERCHSOURCE LLC,UCA,Massage/Relaxation,PERSONAL_CARE,USED_FAIR
6627645,1985,4234401,33,SMALL APPLIANCES,CUISINART IMMERSION,2,39.99,79.98,,,CONAIR LLC,CAH,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1901820,32,HOUSEWARES,TRAMONTINA 3PC SS CERAMIC,1,59.99,59.99,,,TRAMONTINA USA INC,BBE,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,6565000,33,SMALL APPLIANCES,CUISINART BREWCENTRAL 14C,1,49.99,49.99,,,CONAIR LLC,EAB,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,3543442,33,SMALL APPLIANCES,CUIS IMMERSION BLENDR,1,39.99,39.99,,,CONAIR LLC,CAH,Small Kitchen Appliances,MIXED_SMALL_APPLIANCES,USED_FAIR
6627645,1985,1901848,32,HOUSEWARES,"GREENPAN 15"" PAELLA PAN",1,28.99,28.99,,,THE COOKWARE COMPANY USA,BDD,Cookware,KITCHEN_AND_DINING,USED_FAIR
6627645,1985,1938489,32,HOUSEWARES,BELLEVUE EMBOSSED 12OZ,1,19.99,19.99,,,MAYFIELD CONSUMER PRODUCT,HDA,Home Decor,HOME_DECOR,USED_FAIR
6627645,1985,1901772,32,HOUSEWARES,BLENDERBOTTLE STRADA 28OZ,1,18.99,18.99,,,TROVE BRANDS LLC,KBB,Drinkware,KITCHEN_AND_DINING,USED_FAIR
