Category,Subcategory,ASIN,Item Description,Qty,Unit Retail,Ext. Retail,Product Class,GL Description,Seller Category,EAN,LPN,UPC,Brand,Condition,Pallet ID,Lot ID
BUILDING_AND_HARDWARE,Home Improvement,B0F1N6B37R,cenozo Modern Chandeliers LED Dimmable Light Acrylic Balls Ceiling Pendant Lighting for Living Room Dining Room Bedroom Adjustable Hanging Lights 90 Watts Black Lamp,1,700.70,700.70,Home Improvement,Home Improvement,Home Improvement,,LPNNA6DYPQFZQ,,cenozo,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69669,AMZ_3PL_20260409_025
MIXED_BUILDING_AND_INDUSTRIAL,BISS,B0C5WQ8916,500ml Teflon Lined Hydrothermal Synthesis Autoclave Reactor 220℃ 3Mpa 304 Steel High Pressure Hydrothermal PTFE Hydrothermal Reactor Digestion Tank PTFE Vessel,1,622.70,622.70,Home Improvement,BISS,BISS,0747165688949,LPNNA6H4HSC7R,747165688949,Rebrisbol,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69685,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Ceiling Fans & Ventilation,B0FD3TFRKD,"MOOONICHE Large Crystal Caged Ceiling Fan with Light 10 Lights Vintage Bronze Crystal Chandelier Fan 34"" Flush Mounted Ceiling Fan Light Fixture for Living Room Dining Room Hotel Foyer",1,584.99,584.99,Home Improvement,Home Improvement,Lighting & Fans,0733241241603,LPNNA6JXLP9P2,733241241603,MOOONICHE,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69648,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Interior Lights,B0D221GDVN,"TOCHIC French Empire Crystal Chandelier, 9-Light Farmhouse Antique Bronze Chandelier Vintage Rustic Ceiling Light Fixture for Dining Living Room, Bedroom, Kitchen Island, Bathroom, Foyer, 24"" W",1,350.99,350.99,Home Improvement,Home Improvement,Lighting & Fans,,LPNNA6PTRQ8QC,,TOCHIC,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69729,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Pumps,B0D22L7F73,"WASSERMANN 3/4 HP Sewage Pump 2 inch Discharge with Auto Float Switch, 115V 7200 GPH Cast Iron Submersible Sewage Pump, Sump Pump for Basement Sump Basin Sewer Well 2"" NPT Discharge with 10 FT Cable",1,341.89,341.89,Home Improvement,Home Improvement,Rough Plumbing,,LPNNA63HHZ96Q,,wassermann,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69648,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0FNRC5YH1,"Boho Ceiling Fans with Lights and Remote, Wood Beaded 52 inch Ceiling Fan with Light,6 Speed Reversible Motor LED Flush Mount Ceiling Fans, Ceiling Fan Light for Bedroom Living Room(Wood Blades)",1,337.99,337.99,Home Improvement,Home Improvement,Home Improvement,,LPNNA6N4HCCTV,,HITOO,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69856,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Rough Electrical,B0FGK3XW8F,"B2855 2HP Pool Pump Motor Replaces Century/AO Smith Regal Beloit B855 Swimming Pool Pump Motors, 230V, 10A, 3450RPM 1.5KW 56Y Frame 1.1 SF Include Replace Parts, Single Phase Square Flange Leungoo",1,337.84,337.84,Home Improvement,Home Improvement,Electrical & Heating,,LPNNA6654MJV8,,LEUNGOO,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69532,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0D3LMMZRL,SANYCASA 33 Inch Undermount Kitchen Sink with Quiet Drain - 11 Gauge Stainless Steel Sink Single Bowl - Multifunctional Handmade Modern Integrated Ledge Workstation,1,306.14,306.14,Home Improvement,Home Improvement,Home Improvement,,LPNNA6N67TTPJ,,SANYCASA,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69745,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Chandeliers,B07ZJ9KLT5,KCO Lighting 12-Light Glass Globe Sputnik Chandelier Light Fixture Mid Century Modern Chandeliers Brushed Brass Chandelier Milk White Glass Ceiling Light Fixture (Gold+White),1,297.69,297.69,Home Improvement,Home Improvement,Lighting & Fans,8414818985077,LPNNA632WNRHX,,KCO,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69532,AMZ_3PL_20260409_025
BUILDING_AND_HARDWARE,Home Improvement,B0DMP447JK,"Gutter Guards 6 inch, Aluminum Leaf Filter Rain Gutter Covers with Screws Included, 64 PCS 216FT DIY Gutter Guards Protection for 5-inch and 6-inch Gutters, Fits Any Roof or Gutter Type (Mill Finish)",1,292.49,292.49,Home Improvement,Home Improvement,Home Improvement,,LPNNK5KZYVCG6,,PPOLB,USED_GOOD,LIQ:3PL:PALLET:LNRM:PAL-69519,AMZ_3PL_20260409_025
