Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHR044013,BICYCLES-PHYSICAL FITNESS,Jetson Horizon Kids' Electric Dirt Bike - Black,3,399.99,1199.97,Jetson,840290206658,94644959,China,OUTDOOR_SPORTS,LIKE_NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,TOYS,A,PTBB54123,ERO'S,irc_bicycles_physical_fitness_20260417_253_p
LPHR303285,BICYCLES-PHYSICAL FITNESS,"Schwinn Legacy Women's 26"" Cruiser Bike - Purple",7,188.99,1322.93,Schwinn,038675066281,86817298,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI16449,CRUISER,irc_bicycles_physical_fitness_20260417_253_p
LPHR342349,BICYCLES-PHYSICAL FITNESS,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",1,804.99,804.99,Schwinn,038675290853,92680621,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB59094,ELECTRIC BIKES,irc_bicycles_physical_fitness_20260417_253_p
LPHR054760,BICYCLES-PHYSICAL FITNESS,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",2,230.99,461.98,Kent,016751227405,89514027,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB58857,HYBRID,irc_bicycles_physical_fitness_20260417_253_p
LPHR041314,BICYCLES-PHYSICAL FITNESS,"Mongoose Limestone 26"" Men's Mountain Bike - Blue",2,202.99,405.98,Mongoose,038675275959,86817295,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,A,PTBB54123,MOUNTAIN,irc_bicycles_physical_fitness_20260417_253_p
LPHR354320,BICYCLES-PHYSICAL FITNESS,Radio Flyer Convertible Kid & Cargo Stroller Wagon with Canopy: Steel & Plastic Frame,2,179.99,359.98,Radio Flyer,042385114330,77440787,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,TOYS,B,PTBI20874,WAGONS,irc_bicycles_physical_fitness_20260417_253_p
LPHS816790,BICYCLES-PHYSICAL FITNESS,"Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue: 250W Motor, 14 MPH",1,298.99,298.99,Razor,845423001346,53550140,China,OUTDOOR_SPORTS,LIKE_NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,A,PTBB54123,ERO'S,irc_bicycles_physical_fitness_20260417_253_p
LPHS816889,BICYCLES-PHYSICAL FITNESS,"Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue: 250W Motor, 14 MPH",1,298.99,298.99,Razor,845423001346,53550140,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,A,PTBB54123,ERO'S,irc_bicycles_physical_fitness_20260417_253_p
LPHR032756,BICYCLES-PHYSICAL FITNESS,Owala 32oz FreeSip Stainless Steel Water Bottle - Sleek,8,34.99,279.92,Owala,847280073009,83888063,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPKL522381,BICYCLES-PHYSICAL FITNESS,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",1,230.99,230.99,Kent,016751227405,89514027,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTBB58785,HYBRID,irc_bicycles_physical_fitness_20260417_253_p
LPHR350872,BICYCLES-PHYSICAL FITNESS,"Schwinn Legacy Women's 26"" Cruiser Bike - Purple",1,188.99,188.99,Schwinn,038675066281,86817298,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20874,CRUISER,irc_bicycles_physical_fitness_20260417_253_p
LPHS558402,BICYCLES-PHYSICAL FITNESS,Raskullz Balance Buddy Light Up LED Bike Training Wheels,11,16.99,186.89,Raskullz,847268023910,92258054,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,KIDS ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPHS700298,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle  - Misty Meadow,5,29.99,149.95,Owala,847280095742,92383298,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS810752,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle - Tangy Tango,5,29.99,149.95,Owala,847280085361,89056691,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPJY881938,BICYCLES-PHYSICAL FITNESS,"Schwinn Iris 20"" Youth Bike - Light Blue",1,144.49,144.49,Schwinn,038675291003,92401145,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB58522,YOUTH,irc_bicycles_physical_fitness_20260417_253_p
LPHR326492,BICYCLES-PHYSICAL FITNESS,"Schwinn Iris 20"" Youth Bike - Light Blue",1,144.49,144.49,Schwinn,038675291003,92401145,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB59065,YOUTH,irc_bicycles_physical_fitness_20260417_253_p
LPHR342696,BICYCLES-PHYSICAL FITNESS,Balance Exercise Ball Trainer with Pump - Gray - All In Motion,2,71.00,142.00,All In Motion,191802002054,94409129,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBB59137,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHR353374,BICYCLES-PHYSICAL FITNESS,"Hyper 20"" Full Suspension Bear Mountain Bike - Black/Blue: 7-Speed, Steel Frame",1,139.99,139.99,Hyper Bicycles; Hyper,690995300447,92451120,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB59094,MOUNTAIN,irc_bicycles_physical_fitness_20260417_253_p
LPHR327956,BICYCLES-PHYSICAL FITNESS,"Hyper 20"" Full Suspension Bear Mountain Bike - Black/Blue: 7-Speed, Steel Frame",1,139.99,139.99,Hyper Bicycles; Hyper,690995300447,92451120,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB59094,MOUNTAIN,irc_bicycles_physical_fitness_20260417_253_p
