Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPJY786012,SMALL APPLIANCES,"Crock-Pot 2qt Manual Slow Cooker - Stainless Steel: 3 Settings, Reheat & Warmer, Stay-Cool Handles, Dishwasher-Safe Parts",3,17.99,53.97,Crock-Pot,053891143677,83360912,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,SLOW COOKER,irc_small_appliances___floor_care-01_20260417_031_p
LPJY817665,SMALL APPLIANCES,"Aroma 4 Cup Pot Style Rice Cooker White: Nonstick, Stay-Cool Handles, 1 Setting, 250W, Includes Glass Lid & Manual",4,20.99,83.96,Aroma,021241003025,83648981,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,RICE COOKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS441942,SMALL APPLIANCES,"Enhanced Replacement Water Filters for Pitchers 2pk - up & up: Compatible with Brita Pitchers, Filters Benzene & Mercury (Please be advised that sets may be missing pieces or otherwise incomplete.)",2,9.99,19.98,up&up,812501010989,14511038,United Kingdom of Great Britain and Northern Ireland,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,PT FILTERS,irc_small_appliances___floor_care-01_20260417_031_p
LPJY792467,SMALL APPLIANCES,LifeStraw 18oz Go Series Water Filter Tumbler Aegean Sea,1,38.99,38.99,LifeStraw,7640144289188,93996877,"Korea, Republic of",MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,HOME,N,PTBJ26196,WATER BOTTLES,irc_small_appliances___floor_care-01_20260417_031_p
LPHS989408,SMALL APPLIANCES,Nespresso Aeroccino Milk Frother Black,1,79.99,79.99,Nespresso,7630039649074,53678975,Switzerland,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,FROTHER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS434633,FLOORCARE,Sharper Image Dual Air Cordless Vacuum and Blower Purple,1,31.99,31.99,Sharper Image,840397511495,94239096,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,329,OUTDOOR LIVING & ORGANIZED SPACES,LAUNDRY CLEANING AND CLOSET,N,PTBJ26196,HAND VACUUM,irc_small_appliances___floor_care-01_20260417_031_p
LPJY265888,SMALL APPLIANCES,"Dash 3-in-1 Everyday 7-Egg Cooker with Omelet Maker and Poaching - Black: Electric Egg Boiler, Hard Boiled & Poaching",3,19.99,59.97,Dash,856007008286,53731036,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,EGG COOKER,irc_small_appliances___floor_care-01_20260417_031_p
LPHS638347,SMALL APPLIANCES,"Chefman 1L Rapid-Boil Kettle with Automatic Shutoff - Black: Glass Electric Water Boiler & Warmer, 1500W Tea Heater",4,17.99,71.96,Chefman,810087844677,89182727,China,MIXED_SMALL_APPLIANCES,USED_GOOD,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,ELECTRIC KETTLES,irc_small_appliances___floor_care-01_20260417_031_p
LPJY803118,SMALL APPLIANCES,"Kaffe Frothing Pitcher Dark Brushed Stainless Steel: Milk Frothing Pitcher, Coffee & Espresso Accessories, Stainless Steel Finish",1,13.69,13.69,Kaffe,860010435199,91670169,China,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,KITCHEN,N,PTBJ26196,ONLINE ONLY,irc_small_appliances___floor_care-01_20260417_031_p
LPHS546134,SMALL APPLIANCES,"Safe Home Lead in Drinking Water DIY Test Kit: EPA Standards Household Water Test, No Warranty",6,19.99,119.94,Safe Home,850000063273,91948392,United States of America,MIXED_SMALL_APPLIANCES,NEW,SMALL APPLIANCES & FLOOR CARE-01,72,KITCHEN,GARAGE & HARDWARE,N,PTBJ26196,NEW - ACCESSORIES,irc_small_appliances___floor_care-01_20260417_031_p
