Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPHR080367,BICYCLES-PHYSICAL FITNESS,Owala 30oz Stainless Steel FreeSip Sway Water Bottle - Read My Lips,1,34.99,34.99,Owala,840467309557,94796989,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR342151,BICYCLES-PHYSICAL FITNESS,"Fisher-Price Big Action Load N Go Ride-On with Lights, Sounds, Storage and Walking Bar",1,69.99,69.99,Fisher-Price,039897979083,53625217,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,TOYS,B,PTBI20859,FOOT TO FLOOR,irc_bicycles_physical_fitness_20260417_253_p
LPHR444070,BICYCLES-PHYSICAL FITNESS,Owala 30oz Stainless Steel Bucket Handle FreeSip Insulated Straw Tumbler Water Bottle - Summer Soiree,1,34.99,34.99,Owala,840467303326,93462664,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS449738,BICYCLES-PHYSICAL FITNESS,Mickey Mouse Cycling Infant Bike Helmet,1,24.99,24.99,Mickey Mouse,035011994284,92653354,United States of America,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,TODDLER HELMETS,irc_bicycles_physical_fitness_20260417_253_p
LPJY947090,BICYCLES-PHYSICAL FITNESS,CamelBak Copolyester Lid - Clear L,1,12.99,12.99,CamelBak,886798044019,90177746,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPHS558402,BICYCLES-PHYSICAL FITNESS,Raskullz Balance Buddy Light Up LED Bike Training Wheels,11,16.99,186.89,Raskullz,847268023910,92258054,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,KIDS ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPHR261578,BICYCLES-PHYSICAL FITNESS,"Blackburn 20"" Self Sealing Bike Tube - Black",2,11.99,23.98,Blackburn,035011995243,94430440,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,TUBES,irc_bicycles_physical_fitness_20260417_253_p
LPJY548663,BICYCLES-PHYSICAL FITNESS,"Master Lock 6' X 1/2"" Re settable Combo Cable: Bike Security Lock",1,12.99,12.99,Master Lock,071649049491,54287919,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPJY550622,BICYCLES-PHYSICAL FITNESS,BlenderBottle 24oz Strada Tritan Shaker Cup - Purple,6,15.99,95.94,BlenderBottle,840467308611,94922012,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,MIXER,irc_bicycles_physical_fitness_20260417_253_p
LPHS624171,BICYCLES-PHYSICAL FITNESS,"Blackburn 26"" Cruiser Bike Tire - Black",1,22.49,22.49,Blackburn,035011995373,94430437,"Taiwan, Province of China",OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,TIRES,irc_bicycles_physical_fitness_20260417_253_p
LPHR298576,BICYCLES-PHYSICAL FITNESS,Blogilates 19oz Glass Protein Shaker Bottle with Silicone Sleeve - Blue,1,16.99,16.99,Blogilates,850052976606,94430696,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPHR351272,BICYCLES-PHYSICAL FITNESS,Soft Kettlebell 20lb Gray - All In Motion,1,35.00,35.00,All In Motion,191802002023,94409160,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20858,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHS555194,BICYCLES-PHYSICAL FITNESS,"Tommie Copper Sport Compression Knee High Socks 2pk - L/XL: Leg Support, Microfiber (Please be advised that sets may be missing pieces or otherwise incomplete.)",1,12.29,12.29,Tommie Copper,018713631824,90679343,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16644,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHR353350,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Blue",2,209.99,419.98,Schwinn,038675283541,89538614,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB59065,MOUNTAIN,irc_bicycles_physical_fitness_20260417_253_p
LPHS885706,BICYCLES-PHYSICAL FITNESS,Tommie Copper Sport Compression Wrist Sleeve - S/M: Supports & Braces for Adults,1,6.19,6.19,Tommie Copper,018713631763,92542599,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16644,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHR068401,BICYCLES-PHYSICAL FITNESS,Gaiam Studio Select Resistance Tube Gym in a Bag,1,29.99,29.99,Gaiam,018713665300,94413595,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,BAGS,irc_bicycles_physical_fitness_20260417_253_p
LPHR296358,BICYCLES-PHYSICAL FITNESS,"Bala Bangles 2pc Wrist & Ankle Weight Set - Bone 1 lb: Steel, Silicone, Arms, Legs (Please be advised that sets may be missing pieces or otherwise incomplete.)",1,55.00,55.00,Bala,850042100660,91495978,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,WEARABLES,irc_bicycles_physical_fitness_20260417_253_p
LPJY972235,BICYCLES-PHYSICAL FITNESS,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Misty Meadow,4,24.99,99.96,Owala,847280095728,92383288,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPJY966508,BICYCLES-PHYSICAL FITNESS,"Weighted Vest 8lb - All In Motion: Total Body Workout, Recycled Material",4,35.00,140.00,All In Motion,191802001583,88001451,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,WEARABLES,irc_bicycles_physical_fitness_20260417_253_p
LPJY544852,BICYCLES-PHYSICAL FITNESS,Owala 40oz FreeSip Stainless Steel Water Bottle - Very Very  Dark,1,39.99,39.99,Owala,847280095803,92383243,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS888977,BICYCLES-PHYSICAL FITNESS,"Roller Derby Custom Adult In-Fit Skates - Blue/Black 7-10: Adjustable, Padded Boot Shaft",1,49.99,49.99,Roller Derby,049288050000,91238577,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBB58825,YOUTH INLINE SKATE,irc_bicycles_physical_fitness_20260417_253_p
LPJY558974,BICYCLES-PHYSICAL FITNESS,"Hydro Flask 32oz Wide Mouth Flex Straw Travel Bottle - White: BPA-Free, Vacuum-Insulated",1,44.99,44.99,Hydro Flask,840394203003,92383226,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR054760,BICYCLES-PHYSICAL FITNESS,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",2,230.99,461.98,Kent,016751227405,89514027,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBB58857,HYBRID,irc_bicycles_physical_fitness_20260417_253_p
LPHR337247,BICYCLES-PHYSICAL FITNESS,"Brightz LED Bicycle Bell - Silver: Iron & Plastic, Hardware Mounted",1,10.99,10.99,Brightz,811860032243,86816869,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,ACCESSORIES,irc_bicycles_physical_fitness_20260417_253_p
LPJY948283,BICYCLES-PHYSICAL FITNESS,Gaiam Studio Select Resistance Tube - Medium - Green,1,12.99,12.99,Gaiam,018713665263,94413598,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPHR440172,BICYCLES-PHYSICAL FITNESS,"Weighted Stability Exercise Ball - Red 65cm - All In Motion: PVC, 300lb Capacity",1,20.00,20.00,All In Motion,191802001842,90364287,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPJY545641,BICYCLES-PHYSICAL FITNESS,"24oz Stainless Steel Hydration Water Bottle - Green - Embark: Portable Drinkware, Polypropylene Lid",1,13.00,13.00,Embark,198420113728,92028560,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR008417,BICYCLES-PHYSICAL FITNESS,"Phone Waist Pack - All In Motion: Solid Black, Recycled Polyester, Fanny Pack",5,13.00,65.00,All In Motion,197543111031,88001460,Cambodia,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,APPAREL,TT,PTAP16644,WALK/RUN,irc_bicycles_physical_fitness_20260417_253_p
LPJY949265,BICYCLES-PHYSICAL FITNESS,McDavid Sport Compression Knit Knee Sleeve with Gel Buttress - (L /XL): Tendonitis & Arthritis Support,2,17.99,35.98,McDavid,029369148321,90469172,"Taiwan, Province of China",OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16644,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPJY552344,BICYCLES-PHYSICAL FITNESS,64oz Tritan Beverage Plastic Water Bottle Soft Green - All In Motion‚Ñ¢,1,10.00,10.00,All In Motion,198420024536,90796155,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,LARGE CAPACITY,irc_bicycles_physical_fitness_20260417_253_p
LPHR321263,BICYCLES-PHYSICAL FITNESS,"Tommie 14-18"" Copper Sport Compression Calf Sleeve - L/XL: Muscle Support for Legs",5,11.89,59.45,Tommie Copper,018713635884,92542603,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16634,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHR009775,BICYCLES-PHYSICAL FITNESS,"Hydro Flask 32oz All Around Travel Straw Tumbler - Trillium: Vacuum-Insulated, BPA-Free",1,34.99,34.99,Hydro Flask,840394217017,92383251,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,TUMBLER,irc_bicycles_physical_fitness_20260417_253_p
LPHR330242,BICYCLES-PHYSICAL FITNESS,"BlenderBottle 20oz Classic V2 Plastic Water Bottle - White: BPA-Free, Screw-On Lid, Portable Drinkware",1,12.99,12.99,BlenderBottle,847280086924,89077539,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,MIXER,irc_bicycles_physical_fitness_20260417_253_p
LPHS422720,BICYCLES-PHYSICAL FITNESS,Owala 32oz FreeSip Stainless Steel Water Bottle - Tangy Tango,3,34.99,104.97,Owala,847280087044,89056688,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR079649,BICYCLES-PHYSICAL FITNESS,Soft Kettlebell 5lb Cream - All In Motion,1,21.00,21.00,All In Motion,191802002030,94409157,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPJY970437,BICYCLES-PHYSICAL FITNESS,40oz Stainless Steel Tumbler with Straw Purple - Embark: BPA-Free Drinkware,1,15.00,15.00,Embark,198420113698,92028562,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,TUMBLER,irc_bicycles_physical_fitness_20260417_253_p
LPHR332520,BICYCLES-PHYSICAL FITNESS,Bell Sports Skipper Kids' Bike Seat,2,64.99,129.98,Bell Sports,035011978574,52792315,United States of America,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBB59137,BIKE RACKS/TRAILER,irc_bicycles_physical_fitness_20260417_253_p
LPHS776966,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle - Sandy Shores,1,29.99,29.99,Owala,847280085347,89056680,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16634,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR295765,BICYCLES-PHYSICAL FITNESS,Owala 24oz FreeSip Stainless Steel Water Bottle  - Navy Nights,1,29.99,29.99,Owala,847280094004,91897296,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR262266,BICYCLES-PHYSICAL FITNESS,Premium Belt Bag Blush - All In Motion: Water-Resistant Knit Fanny Pack,1,20.00,20.00,All In Motion,198420122881,92108302,Cambodia,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,APPAREL,TT,PTAP16644,BAGS,irc_bicycles_physical_fitness_20260417_253_p
LPHS251611,BICYCLES-PHYSICAL FITNESS,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Rocky Shore,2,24.99,49.98,Owala,847280091072,90150424,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPKL522300,BICYCLES-PHYSICAL FITNESS,Kids' Chicago Skates Adjustable Inline Skates - Black/Blue 5-8,1,54.99,54.99,Chicago Skates,039035036869,81307115,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,B,PTBI20994,SKATES,irc_bicycles_physical_fitness_20260417_253_p
LPJY409892,BICYCLES-PHYSICAL FITNESS,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Cake Pop,2,24.99,49.98,Owala,847280091102,90150425,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR089134,BICYCLES-PHYSICAL FITNESS,Owala 16oz Kids' FreeSip Stainless Steel Water Bottle - Green Machine,2,24.99,49.98,Owala,847280080540,87974491,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHR019444,BICYCLES-PHYSICAL FITNESS,"Hydro Flask 32oz All Around Travel Straw Tumbler - Surf: Vacuum-Insulated, BPA-Free",1,34.99,34.99,Hydro Flask,840394216959,92776813,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,TUMBLER,irc_bicycles_physical_fitness_20260417_253_p
LPHR047073,BICYCLES-PHYSICAL FITNESS,"Yoga Towel Blue - All In Motion: Sports Exercise Mat, Recycled Material",1,30.00,30.00,All In Motion,191802001606,88001454,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16644,YOGA,irc_bicycles_physical_fitness_20260417_253_p
LPHR122812,BICYCLES-PHYSICAL FITNESS,"Men's Strength Training Gloves Black L - All In Motion: Neoprene, Weightlifting",1,10.00,10.00,All In Motion,191907562743,80594797,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,TT,PTAP16634,STRENGTH TRAINING,irc_bicycles_physical_fitness_20260417_253_p
LPJY540872,BICYCLES-PHYSICAL FITNESS,Owala 32oz Stainless Steel FreeSip Water Bottle - Candy Coated,1,34.99,34.99,Owala,840467308505,94912419,China,OUTDOOR_SPORTS,SALVAGE,BICYCLES PHYSICAL FITNESS,82,SPORT,HOME,TT,PTAP16644,STAINLESS STEEL,irc_bicycles_physical_fitness_20260417_253_p
LPHS885687,BICYCLES-PHYSICAL FITNESS,"Tommie Copper Sport Compression Ankle Support Sleeve - L/XL: Joint Support, Polyester",1,10.89,10.89,Tommie Copper,018713631800,90679312,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,HEALTH AND BEAUTY,TT,PTAP16644,MUSCLE THERAPY,irc_bicycles_physical_fitness_20260417_253_p
LPHR044013,BICYCLES-PHYSICAL FITNESS,Jetson Horizon Kids' Electric Dirt Bike - Black,3,399.99,1199.97,Jetson,840290206658,94644959,China,OUTDOOR_SPORTS,LIKE_NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,TOYS,A,PTBB54123,ERO'S,irc_bicycles_physical_fitness_20260417_253_p
