row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
2060,1,FAUX CONCRETE FIRE TABLE,,GHP GROUP INC,,OUTDOOR_FURNITURE,USED_FAIR,,,1,399.99,Lot: 6627645 | Location: 1985 | Seller Category: Patio Furniture,70.88,141.76
2061,2,CUISINART GRIND AND BREW,,CONAIR LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,2,169.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,30.12,60.24
2062,3,"GELLER 47"" SIT/STAND DESK",,TWIN STAR INTL INC,,OFFICE_SUPPLIES,USED_FAIR,,,1,249.99,Lot: 6627645 | Location: 1985 | Seller Category: Office Furniture,44.30,88.60
2063,4,GREENPAN ERAS 11-PIECE,,THE COOKWARE COMPANY USA,,KITCHEN_AND_DINING,USED_FAIR,,,1,249.99,Lot: 6627645 | Location: 1985 | Seller Category: Cookware,44.30,88.60
2064,5,BRIO 740 BOTTOM LOAD,,BRIO WATER TECHNOLOGY INC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,249.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,44.30,88.60
2065,6,SAMSONITE ELEMENT XLT 2PC,,SAMSONITE LLC,,BAGS_AND_LUGGAGE,USED_FAIR,,,1,199.99,Lot: 6627645 | Location: 1985 | Seller Category: Luggage,35.44,70.88
2066,7,SHARPER IMAGE PRO,,MERCHSOURCE LLC,,PERSONAL_CARE,USED_FAIR,,,2,79.99,Lot: 6627645 | Location: 1985 | Seller Category: Massage/Relaxation,14.17,28.34
2067,8,PHILIPS NORELCO SHAVER,,PHILIPS NORTH AMERICA LLC,,PERSONAL_CARE,USED_FAIR,,,1,149.99,Lot: 6627645 | Location: 1985 | Seller Category: Personal Care,26.58,53.16
2068,9,KS 12PC HA COOKWARE SET,,MEYER MARKETING CO LTD,,KITCHEN_AND_DINING,USED_FAIR,,,1,119.99,Lot: 6627645 | Location: 1985 | Seller Category: Cookware,21.26,42.52
2069,10,BEAST BLENDER DELUXE,,BEAST HEALTH LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,119.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,21.26,42.52
2070,11,MAHJONG SET,,WINNING SOLUTIONS INC,,TOYS,USED_FAIR,,,1,99.99,Lot: 6627645 | Location: 1985 | Seller Category: Toys,17.72,35.44
2071,12,BLUEAIR MINI MAX,,BLUEAIR INC,,HEATING_COOLING_AND_AIR_QUALITY,USED_FAIR,,,1,99.99,Lot: 6627645 | Location: 1985 | Seller Category: Air Treatment Appliances,17.72,35.44
2072,13,GOURMIA 8QT AIR FRYER,,STEELSTONE GROUP LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,59.99,Lot: 6627645 | Location: 1985 | Seller Category: Small Kitchen Appliances,10.63,21.26
2073,14,CONAIR HANDHELD STEAMER,,CONAIR LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,49.99,Lot: 6627645 | Location: 1985 | Seller Category: Garment Care,8.86,17.72
2074,15,CONAIR HANDHELD STEAMER,,CONAIR LLC,,MIXED_SMALL_APPLIANCES,USED_FAIR,,,1,49.99,Lot: 6627645 | Location: 1985 | Seller Category: Garment Care,8.86,17.72
2075,16,LED SECURITY LIGHT,,TEST RITE INTERNATIONAL C,,LIGHTING,USED_FAIR,,,1,39.99,Lot: 6627645 | Location: 1985 | Seller Category: Lighting,7.09,14.18
