row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1925,1,Mr. Coffee 12-Cup Automatic Blade Mill Grinder - Black,,Mr. Coffee,,MIXED_SMALL_APPLIANCES,NEW,,053891154819,11,35.99,SMALL APPLIANCES | COFFEE GRINDER | SMALL APPLIANCES & FLOOR CARE-01,10.64,21.28
1926,2,LifeStraw Sip Reusable Steel Filter Straw with Carry Case Laguna Teal,,LifeStraw,,MIXED_SMALL_APPLIANCES,NEW,,7640144289102,11,27.49,SMALL APPLIANCES | STRAWS | SMALL APPLIANCES & FLOOR CARE-01,8.13,16.26
1927,3,Disney Dash 2pk Daisy & Donald Duck Removable Plate for the MultiMaker Mini Maker System (Please be advised that sets may be missing pieces or otherwise incomplete.),,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137395432,18,11.04,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,3.26,6.52
1928,4,Disney Dash 2pk Moana & Pua Removable Plate for the MultiMaker Mini Maker System (Please be advised that sets may be missing pieces or otherwise incomplete.),,Dash,,MIXED_SMALL_APPLIANCES,NEW,,810137395418,19,9.74,SMALL APPLIANCES | WAFFLE MAKER | SMALL APPLIANCES & FLOOR CARE-01,2.88,5.76
1929,5,"Chefman 1.8L Lightning Borosilicate Glass Electric Kettle: Stainless Steel Lid, 1750W, Hand Wash, Silver & Black Accents",,Chefman,,MIXED_SMALL_APPLIANCES,NEW,,810087848552,4,44.99,SMALL APPLIANCES | ELECTRIC KETTLES | SMALL APPLIANCES & FLOOR CARE-01,13.30,26.60
1930,6,"Bodum Schiuma Milk Frother - Black: Handheld Frother Wand for Coffee, Battery-Powered, Stainless Steel & Plastic",,Bodum,,MIXED_SMALL_APPLIANCES,USED_GOOD,,727015012049,15,9.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
1931,7,"Aroma 4 Cup Pot Style Rice Cooker White: Nonstick, Stay-Cool Handles, 1 Setting, 250W, Includes Glass Lid & Manual",,Aroma,,MIXED_SMALL_APPLIANCES,USED_GOOD,,021241003025,4,20.99,SMALL APPLIANCES | RICE COOKER | SMALL APPLIANCES & FLOOR CARE-01,6.21,12.42
1932,8,GE Profile Opal Side Tank - Hearth & Hand with Magnolia,,GE Appliances,,MIXED_SMALL_APPLIANCES,USED_GOOD,,084691949596,1,70.99,SMALL APPLIANCES | FRIDGE ACCESSORIES | SMALL APPLIANCES & FLOOR CARE-01,20.99,41.98
1933,9,"Brita 2ct Elite Replacement Water Filter for Pitchers and Dispensers: Reduces Odors, Filters Lead & More (Please be advised that sets may be missing pieces or otherwise incomplete.)",,Brita,,MIXED_SMALL_APPLIANCES,USED_GOOD,,060258320947,2,34.99,SMALL APPLIANCES | PT FILTERS | SMALL APPLIANCES & FLOOR CARE-01,10.35,20.70
1934,10,"Bodum Brazil 8 Cup 34oz French Press Coffee Maker Black: Glass Carafe, Dishwasher-Safe, Manual Coffee Presser",,Bodum,,MIXED_SMALL_APPLIANCES,USED_GOOD,,727152651552,3,19.99,SMALL APPLIANCES | COFFEE PRESS | SMALL APPLIANCES & FLOOR CARE-01,5.91,11.82
1935,11,"Bodum Schiuma Milk Frother Pink: Handheld Frother Wand for Coffee, Battery-Powered Mixer, Stainless Steel & Plastic",,Bodum,,MIXED_SMALL_APPLIANCES,NEW,,699965602819,5,9.99,SMALL APPLIANCES | FROTHER | SMALL APPLIANCES & FLOOR CARE-01,2.95,5.90
