row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
937,1,Jetson Horizon Kids' Electric Dirt Bike - Black,,Jetson,,OUTDOOR_SPORTS,LIKE_NEW,,840290206658,3,399.99,BICYCLES-PHYSICAL FITNESS | ERO'S | BICYCLES PHYSICAL FITNESS,88.39,176.78
938,2,"Schwinn Legacy Women's 26"" Cruiser Bike - Purple",,Schwinn,,OUTDOOR_SPORTS,NEW,,038675066281,7,188.99,BICYCLES-PHYSICAL FITNESS | CRUISER | BICYCLES PHYSICAL FITNESS,41.76,83.52
939,3,"Schwinn Regent 27.5"" Adult Hybrid Bike - Dark Red",,Schwinn,,OUTDOOR_SPORTS,NEW,,038675290853,1,804.99,BICYCLES-PHYSICAL FITNESS | ELECTRIC BIKES | BICYCLES PHYSICAL FITNESS,177.89,355.78
940,4,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",,Kent,,OUTDOOR_SPORTS,NEW,,016751227405,2,230.99,BICYCLES-PHYSICAL FITNESS | HYBRID | BICYCLES PHYSICAL FITNESS,51.05,102.10
941,5,"Mongoose Limestone 26"" Men's Mountain Bike - Blue",,Mongoose,,OUTDOOR_SPORTS,USED_GOOD,,038675275959,2,202.99,BICYCLES-PHYSICAL FITNESS | MOUNTAIN | BICYCLES PHYSICAL FITNESS,44.86,89.72
942,6,Radio Flyer Convertible Kid & Cargo Stroller Wagon with Canopy: Steel & Plastic Frame,,Radio Flyer,,OUTDOOR_SPORTS,USED_GOOD,,042385114330,2,179.99,BICYCLES-PHYSICAL FITNESS | WAGONS | BICYCLES PHYSICAL FITNESS,39.78,79.56
943,7,"Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue: 250W Motor, 14 MPH",,Razor,,OUTDOOR_SPORTS,LIKE_NEW,,845423001346,1,298.99,BICYCLES-PHYSICAL FITNESS | ERO'S | BICYCLES PHYSICAL FITNESS,66.07,132.14
944,8,"Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue: 250W Motor, 14 MPH",,Razor,,OUTDOOR_SPORTS,NEW,,845423001346,1,298.99,BICYCLES-PHYSICAL FITNESS | ERO'S | BICYCLES PHYSICAL FITNESS,66.07,132.14
945,9,Owala 32oz FreeSip Stainless Steel Water Bottle - Sleek,,Owala,,OUTDOOR_SPORTS,USED_GOOD,,847280073009,8,34.99,BICYCLES-PHYSICAL FITNESS | STAINLESS STEEL | BICYCLES PHYSICAL FITNESS,7.73,15.46
946,10,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",,Kent,,OUTDOOR_SPORTS,USED_GOOD,,016751227405,1,230.99,BICYCLES-PHYSICAL FITNESS | HYBRID | BICYCLES PHYSICAL FITNESS,51.05,102.10
947,11,"Schwinn Legacy Women's 26"" Cruiser Bike - Purple",,Schwinn,,OUTDOOR_SPORTS,USED_GOOD,,038675066281,1,188.99,BICYCLES-PHYSICAL FITNESS | CRUISER | BICYCLES PHYSICAL FITNESS,41.76,83.52
